tweet_id,timestamp,text,tags
616057454430957572,2015-07-01 01:35:17 +0000,Congrats to the #USWNT! Can't wait for the finals. You make us all proud!,
770050438578184192,2016-08-29 00:08:26 +0000,"Congratulations to Maine-Endwell, Little League World Series Champs and still undefeated! Proud of you and the sportsmanship you showed.","[tweet, president, 2016]"
786598777482153988,2016-10-13 16:05:37 +0000,"Congratulations to one of my favorite poets, Bob Dylan, on a well-deserved Nobel. https://t.co/c9cnANWPCS","[tweet, president, 2016]"
616335694928199680,2015-07-01 20:00:55 +0000,congratulations! hope you guys are getting sleep. nothing beats babies! https://t.co/ymGM0HARad,
748620582216884224,2016-06-30 20:53:50 +0000,Congress is leaving a hefty to-do list undone. Health officials still need emergency funding to effectively protect Americans from Zika.,"[tweet, president, 2016]"
644193755814342656,2015-09-16 16:58:54 +0000,"Cool clock, Ahmed. Want to bring it to the White House? We should inspire more kids like you to like science. It's what makes America great.",
780906000391864320,2016-09-27 23:04:33 +0000,Couldn't be more proud of @HillaryClinton. Her vision and command during last night's debate showed that she's ready to be our next @POTUS.,"[tweet, president, 2016]"
767528566099701760,2016-08-22 01:07:24 +0000,"Couldn't be prouder of #TeamUSA. Your determination and passion inspired so many of us. You carried that flag high tonight, @Simone_Biles!","[tweet, president, 2016]"
780809121314504704,2016-09-27 16:39:35 +0000,Democracy is not a spectator sport. Don't give up your power to shape the future of the country we love. Vote: https://t.co/sUxB8TLc5r,"[tweet, president, 2016]"
687697228895399937,2016-01-14 18:06:10 +0000,despite court cases like citizens united ill work with orgs/states across US to find new ways 2 reduce $ in politics https://t.co/fuTdewJcyh,
628285077970153472,2015-08-03 19:23:30 +0000,"Despite what the critics will tell you, this plan will ultimately save the average American family nearly $85 a year on their energy bills.",
632212730209009664,2015-08-14 15:30:35 +0000,"Due to popular request, here are my vacation playlists: http://t.co/uer5sIl4Vk http://t.co/zHEekHvQBr What's your favorite summer song?",
623661992952377344,2015-07-22 01:13:00 +0000,"E.L. Doctorow was one of America's greatest novelists. His books taught me much, and he will be missed.",
684153926636015616,2016-01-04 23:26:21 +0000,"Each year, more than 30,000 American lives are cut short by guns - two-thirds coming from suicides. Too many Americans have lost loved ones.",
697928913457188864,2016-02-11 23:43:14 +0000,Einstein was right! Congrats to @NSF and @LIGO on detecting gravitational waves - a huge breakthrough in how we understand the universe.,"[tweet, president, 2016]"
749378629822545920,2016-07-02 23:06:02 +0000,Elie Wiesel was a great moral voice of our time and a conscience for our world. He was also a dear friend. We will miss him deeply.,"[tweet, president, 2016]"
670745089975721984,2015-11-28 23:24:25 +0000,Enjoyed stopping by Upshur Street Books today. Celebrate Small Business Saturday by supporting a business near you. https://t.co/udTcIhxtOC,
660866496474832896,2015-11-01 17:10:25 +0000,"Every American deserves quality, affordable health care. If you or a friend needs coverage, go to https://t.co/PJ7xIL6FjY and sign up now.",
747466445345349632,2016-06-27 16:27:42 +0000,Every woman has a constitutional right to make her own reproductive choices. I'm pleased to see the Supreme Court reaffirm that fact today.,"[tweet, president, 2016]"
616336742854078464,2015-07-01 20:05:05 +0000,EX-IM bank helps US companies export; that means good paying american jobs. optimistic that congress gets it done. https://t.co/UeBhgiL64B,
687692698573082624,2016-01-14 17:48:10 +0000,"Expanded pell grants, capped loan repayments at 10% income, but now want to also make 2 yrs community college free. https://t.co/RS9XFDpp9c",
612437278019973120,2015-06-21 01:50:00 +0000,Expressions of sympathy aren’t enough. It’s time we do something about this.,
768833523729903618,2016-08-25 15:32:50 +0000,"Felicitaciones, @JuanManSantos and Colombia. After decades of war, we stand with you in building a future of peace. https://t.co/haXJaqgS9f","[tweet, president, 2016]"
764961309767131136,2016-08-14 23:06:03 +0000,Final win for Phelps. World record for Ledecky. 3 #1 finishes for Biles. That's how #TeamUSA gets America to 1000 golds-way to make history.,"[tweet, president, 2016]"
787662124197830656,2016-10-16 14:30:59 +0000,"For a century, Planned Parenthood has made it possible for women to determine their own lives. Here's to another #100YearsStrong.","[tweet, president, 2016]"
788098889140219904,2016-10-17 19:26:31 +0000,"For the loved ones we've lost and the ones we can still save, thank you Joe for putting us on the path to ending cancer as we know it. https://t.co/O0twPYcRSc","[tweet, president, 2016]"
714084384010272768,2016-03-27 13:39:18 +0000,"From my family to yours, Happy Easter, and we wish everyone celebrating a blessed and joyful day. https://t.co/fNvcihSmYB",
680464195993911296,2015-12-25 19:04:41 +0000,"From the Obama family to yours, Merry Christmas! And a special thank you to all our men and women in uniform this holiday season.",
782594690738597888,2016-10-02 14:54:48 +0000,"Gandhiji believed in a world worthy of our children. In joining the Paris Agreement, @narendramodi &amp; the Indian people carry on that legacy.","[tweet, president, 2016]"
605841647193030657,2015-06-02 21:01:19 +0000,Glad the Senate finally passed the USA Freedom Act. It protects civil liberties and our national security. I'll sign it as soon as I get it.,
621121462649397249,2015-07-15 00:57:51 +0000,Good conversation with Tom Friedman on the deal we reached with Iran. It's a major step toward a safer world.  https://t.co/xwSrH9IoFG,
613130677303799809,2015-06-22 23:45:19 +0000,Good luck Team USA – make us proud out there! #OneNationOneTeam http://t.co/btu3dRXPbr,
671094262826704896,2015-11-29 22:31:55 +0000,Good news: the world now adds more clean power capacity each year than dirtier fossil-fuel based power capacity. https://t.co/nrNiwDAKuN,
612433183297142784,2015-06-21 01:33:44 +0000,"Good point, Mitt. https://t.co/Ryusfp8Xbh",
600407380279566336,2015-05-18 21:07:29 +0000,"Good question, @billclinton. The handle comes with the house. Know anyone interested in @FLOTUS?",
659196797701763072,2015-10-28 02:35:38 +0000,Good to be home for a night. Even better to see the @chicagobulls start the season off right! #SeeRed,
698574908247425024,2016-02-13 18:30:11 +0000,Got a view yesterday of the lands we protected in CA. We owe it to our kids to preserve America's natural beauty. https://t.co/8OR9MrupyG,"[tweet, president, 2016]"
616340901351264256,2015-07-01 20:21:36 +0000,"Gotta go, but this was fun. Let's keep the health care conversation going - share how the #ACAWorks for you or your family.",
687698446619312128,2016-01-14 18:11:01 +0000,great - we need well-meaning folks from all stripes to get info on how we can respect 2A and reduce gun violence https://t.co/dZ0vRltrZg,
758867227328163841,2016-07-29 03:30:20 +0000,"Great speech. She's tested. She's ready. She never quits. That's why Hillary should be our next @POTUS. (She'll get the Twitter handle, too)","[tweet, president, 2016]"
745272915780743168,2016-06-21 15:11:24 +0000,"Gun violence requires more than moments of silence. It requires action. In failing that test, the Senate failed the American people.","[tweet, president, 2016]"
684154637436370944,2016-01-04 23:29:11 +0000,"Guns now kill as many people as cars in almost half of the U.S. We can't stop every act of violence, but we can save lives if we act.",
622147491862028289,2015-07-17 20:54:55 +0000,Had a great visit today with Emma Didlake - our oldest living veteran at 110-years-young! She's a true American hero. http://t.co/EeeIC3AK4A,
707323697493704704,2016-03-08 21:54:45 +0000,"Happy #InternationalWomensDay! When women are free to pursue their dreams, nations are more safe, more secure, and more prosperous.",
626794365869010945,2015-07-30 16:39:56 +0000,"Happy 50th birthday, Medicare and Medicaid! Two programs, one promise: that every American deserves a basic measure of dignity and security.",
656926385882185728,2015-10-21 20:13:50 +0000,"Happy Back to the Future Day, @RealMikeFox! Ever think about the fact that we live in the future we dreamed of then? That's heavy, man.",
744656711596773380,2016-06-19 22:22:49 +0000,Happy Father's Day to all the dads out there. Glad to be spending this one with my family in Yosemite. https://t.co/SaNJgmoIK1,"[tweet, president, 2016]"
749966042135293952,2016-07-04 14:00:12 +0000,"Happy Fourth of July, everybody! And to our brave men and women in uniform: On this day and every day, we thank you.","[tweet, president, 2016]"
772841067276333056,2016-09-05 16:57:23 +0000,"Happy Labor Day - longest streak of job growth ever, unemployment cut in half. That's what hardworking Americans can do. Let's keep going!","[tweet, president, 2016]"
669923936574922752,2015-11-26 17:01:27 +0000,"Happy Thanksgiving, everyone! Today, we give thanks for all of our loved ones and the brave men and women in uniform who serve our country.",
616337090767405056,2015-07-01 20:06:28 +0000,"have principles and issues you are passionate about, and act; worry more about doing something than being something. https://t.co/QqbgflhXDY",
739095745584844800,2016-06-04 14:05:32 +0000,"He shook up the world, and the world's better for it. Rest in peace, Champ. https://t.co/z1yM3sSLH3",
689840000456794112,2016-01-20 16:00:47 +0000,Headed to the Detroit Auto Show today to showcase how our auto industry has come roaring back from the financial crisis. Here are the stats:,
656889342200188928,2015-10-21 17:46:38 +0000,Heading to West Virginia today to talk about the epidemic of prescription drug abuse in America and what we can do to help. The facts:,
687695122327158785,2016-01-14 17:57:48 +0000,"health care inflation lowest in decades since ACA passed; problem is more costs passed to workers thru copays, etc. https://t.co/ElBcrjxa6L",
616311028847112192,2015-07-01 18:22:54 +0000,Hello from Nashville! I'll be answering your questions on health care and the Affordable Care Act at 3:30pm ET. Tweet yours using #AskPOTUS.,
600324682190053376,2015-05-18 15:38:52 +0000,"Hello, Twitter! It's Barack. Really! Six years in, they're finally giving me my own account.",
612437042207834112,2015-06-21 01:49:04 +0000,"Here are the stats: Per population, we kill each other with guns at a rate 297x more than Japan, 49x more than France, 33x more than Israel.",
667020445066096640,2015-11-18 16:44:01 +0000,"Here, our focus is giving safe haven to the most vulnerable Syrians – women, children, and survivors of torture.",
700320856858189824,2016-02-18 14:07:58 +0000,Here's how we're looking at the road ahead: https://t.co/a0KcsmpF39,"[tweet, president, 2016]"
780244157625278464,2016-09-26 03:14:38 +0000,"Here's to The King who was as extraordinary on the links as he was generous to others. Thanks for the memories, Arnold. https://t.co/UlyfpIBOL2","[tweet, president, 2016]"
629342681962049538,2015-08-06 17:26:02 +0000,"Heroes like @RepJohnLewis, Dr. King, and countless others sacrificed so that all of our voices could be heard. http://t.co/L7kxtWQlYW",
674735966830116864,2015-12-09 23:42:45 +0000,"Herzlichen Glückwunsch to my friend and Time's Person of the Year, Angela Merkel! Thanks for your moral leadership and strong partnership.",
627560699347255297,2015-08-01 19:25:04 +0000,"Hey @StationCDRKelly, loving the photos. Do you ever look out the window and just freak out?",
687691919065915392,2016-01-14 17:45:04 +0000,Hey everyone! Ready to answer your questions here at McKinley High School in Baton Rouge. Let's do this. #AskPOTUS https://t.co/jA1MEbwcxg,
617542692952764417,2015-07-05 03:57:06 +0000,http://t.co/Ft3DwYWRJv,
784170804279992320,2016-10-06 23:17:43 +0000,"Hurricane Matthew is as serious as it gets. Listen to local officials, prepare, take care of each other. https://t.co/Vaf8Xubs0s","[tweet, president, 2016]"
609163576616615936,2015-06-12 01:01:29 +0000,I challenged them to a race. http://t.co/FpEUTnYgoD,
656263630741073920,2015-10-20 00:20:17 +0000,I got a chance to catch up with the @Space_Station crew today. Nothing like a call to space on #AstronomyNight! https://t.co/JVLzYDQ8Jo,
663813521289953281,2015-11-09 20:20:51 +0000,I just launched my Facebook page with a video on climate change. America will lead on this. The time to act is now. https://t.co/WG5y1FbhIA,
656153597932118018,2015-10-19 17:03:03 +0000,I just met with CEOs of some of our biggest companies who are stepping up to #ActOnClimate. It's good for the planet - and the bottom line.,
639508843773468672,2015-09-03 18:42:44 +0000,I loved Alaska and met so many inspiring people. Have to keep up the fight on climate change for their sake—and ours. http://t.co/HzWW0S6iQc,
628286472781754368,2015-08-03 19:29:02 +0000,I refuse to condemn our kids to a planet that's beyond fixing. Let's meet this challenge and #ActOnClimate together.,
790236602584948736,2016-10-23 17:01:02 +0000,"I'll say it: Holy Cow, @Cubs fans. Even this White Sox fan was happy to see Wrigley rocking last night. #FlyTheW","[tweet, president, 2016]"
